Field;Rig;Wellbore;Section;Start time;End time
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;"36""";2007-09-16 05:00:00;2007-09-21 13:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;"17 1/2""";2007-09-21 13:45:00;2007-02-10 15:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9;"36""";2007-11-28 13:45:00;2007-01-12 04:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9;"17 1/2""";2007-12-12 21:00:00;2007-12-17 01:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11;"26""";2013-03-16 00:30:00;2013-03-20 09:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15;"36""";2007-11-19 04:45:00;2007-12-23 15:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15;"26""";2008-06-09 12:00:00;2008-10-09 17:14:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15;"26""";2008-09-18 21:30:00;2008-09-20 04:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;"12 1/4""";2008-04-02 21:00:00;2008-09-02 10:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;"36""";2007-09-06 22:30:00;2007-06-13 20:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;"17 1/2""";2007-10-13 05:00:00;2007-10-23 08:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;"36""";2007-11-15 21:30:00;2007-11-18 23:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;"17 1/2""";2007-12-18 02:30:00;2007-12-22 21:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;"17 1/2""";2008-10-07 18:00:00;2008-07-15 18:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;COMPL_XTINS;2008-08-21 19:30:00;2008-08-23 22:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;"12 1/4""";2008-05-22 05:15:00;2008-05-28 17:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;"26""";2007-05-12 07:00:00;2007-12-12 00:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;"8 1/2""";2008-10-06 23:00:00;2008-06-15 15:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;"36""";2007-06-14 12:30:00;2007-06-17 16:15:00
